Date,SPLG
2020-09-02,0.014726738988860566
2020-09-03,-0.03473685613662569
2020-09-04,-0.008134095861030977
2020-09-08,-0.027087205809141146
2020-09-09,0.019923085972281207
2020-09-10,-0.017780984694116042
2020-09-11,0.00101989488255394
2020-09-14,0.01299025350621208
2020-09-15,0.005028951429962403
2020-09-16,-0.004002617841517564
2020-09-17,-0.009043427367290024
2020-09-18,-0.011153332873871435
2020-09-21,-0.011069409292525312
2020-09-22,0.00988799746454494
2020-09-23,-0.022932338498995564
2020-09-24,0.0023733546222084456
2020-09-25,0.01604825856864034
2020-09-28,0.016830898544737183
2020-09-29,-0.005347625435485948
2020-09-30,0.0074244295755536704
2020-10-01,0.006098983467993202
2020-10-02,-0.009345466961348747
2020-10-05,0.017847931496956626
2020-10-06,-0.01427865651248017
