Date,XLF
2020-09-02,0.014325432260465343
2020-09-03,-0.015299901642491509
2020-09-04,0.007569633963959488
2020-09-08,-0.02570204431833112
2020-09-09,0.010146231527853766
2020-09-10,-0.014061929520002736
2020-09-11,0.006927647642219759
2020-09-14,0.01375937760771695
2020-09-15,-0.013572626711662594
2020-09-16,0.011331421703445255
2020-09-17,-0.010404320364377107
2020-09-18,-0.0020217594754251555
2020-09-21,-0.025056027838257888
2020-09-22,-0.008357734763699831
2020-09-23,-0.02233457213821588
2020-09-24,0.002155425755856033
2020-09-25,0.010322214347602054
2020-09-28,0.023839951935344716
2020-09-29,-0.012473833994998462
2020-09-30,0.013473529930100314
2020-10-01,0.0016617900973616706
2020-10-02,0.007880731426307852
2020-10-05,0.016460866891720105
2020-10-06,-0.01012138150805586
