Date,XLP
2020-09-01,0.0010675292345605492
2020-09-02,0.018126243550276033
2020-09-03,-0.017205164771814108
2020-09-04,-0.0022835605631369438
2020-09-08,-0.02105582647485371
2020-09-09,0.01449500328056419
2020-09-10,-0.012290651584176082
2020-09-11,0.005599660404616458
2020-09-14,0.006496434473932
2020-09-15,-0.0013830165274411055
2020-09-16,-0.004462947631222125
2020-09-17,-0.006337989281241185
2020-09-18,-0.009178579360254235
2020-09-21,-0.007628815696627322
2020-09-22,0.005888902395227991
2020-09-23,-0.015031722435386752
2020-09-24,0.007389691525382602
2020-09-25,0.005262353999013536
2020-09-28,0.01126265901473178
2020-09-29,-0.006588198897513831
2020-09-30,0.0121584097809313
2020-10-01,0.00561607772485373
2020-10-02,-0.005584713539544595
2020-10-05,0.006708375717106918
