Date,EWC
2020-09-02,0.0034602543143515962
2020-09-03,-0.01965506397448069
2020-09-04,-0.0077383630953601346
2020-09-08,-0.021977970779251232
2020-09-09,0.02392166122147943
2020-09-10,-0.01592922930583185
2020-09-11,0.0028776297060877365
2020-09-14,0.009325746455484119
2020-09-15,0.0014216187907101219
2020-09-16,-0.008516776466118925
2020-09-17,0.0
2020-09-18,-0.008232043192847316
2020-09-21,-0.018043811778667096
2020-09-22,0.011392842237329948
2020-09-23,-0.022892522837869578
2020-09-24,0.006693759780522113
2020-09-25,0.0051720662531937744
2020-09-28,0.013230231567616935
2020-09-29,-0.005077882522987909
2020-09-30,-0.0007291693474362759
2020-10-01,0.005837224687558651
2020-10-02,-0.001087930948179272
2020-10-05,0.01924468981944183
2020-10-06,-0.015318905982312114
2020-10-07,0.014833519615800705
