Date,XLI
2020-09-02,0.016539383286046982
2020-09-03,-0.02803525795755102
2020-09-04,0.00231816188587719
2020-09-08,-0.018756546902527926
2020-09-09,0.015448981174685406
2020-09-10,-0.01276414033321771
2020-09-11,0.013582144273044605
2020-09-14,0.013529455536160251
2020-09-15,0.0006356245971468333
2020-09-16,0.010163743596153019
2020-09-17,0.00201229625604471
2020-09-18,-0.011171165370529756
2020-09-21,-0.03319496496680996
2020-09-22,0.009885164627276843
2020-09-23,-0.017880599943291164
2020-09-24,0.0014618225763365356
2020-09-25,0.014994865333950225
2020-09-28,0.01804158007697354
2020-09-29,-0.008860977871104625
2020-09-30,-0.0025913660216140277
2020-10-01,-0.002987915152973808
2020-10-02,0.011205293939768879
2020-10-05,0.01610643692525171
2020-10-06,-0.012173715109377703
