Date,XLC
2020-09-02,0.021323143578888315
2020-09-03,-0.03392690784620134
2020-09-04,-0.018274349878566243
2020-09-08,-0.026383929683866048
2020-09-09,0.011970331110643828
2020-09-10,-0.014785756856281806
2020-09-11,-0.00316845757565265
2020-09-14,0.0038476854670370653
2020-09-15,0.01783043470244139
2020-09-16,-0.010805631609284938
2020-09-17,-0.018371311047270855
2020-09-18,-0.009610606843782232
2020-09-21,-0.011703199266224429
2020-09-22,0.01933369736520718
2020-09-23,-0.023878184141231662
2020-09-24,0.0019084634388044641
2020-09-25,0.013333242815260826
2020-09-28,0.013328849662159081
2020-09-29,0.0010118150557514305
2020-09-30,0.0006738166171480486
2020-10-01,0.014309803370357033
2020-10-02,-0.01975102409754148
2020-10-05,0.016423832321019294
2020-10-06,-0.020989462483986587
