Date,XLK
2020-09-02,0.008895272658743902
2020-09-03,-0.056994346417910347
2020-09-04,-0.013941290703780251
2020-09-08,-0.045208154310413806
2020-09-09,0.03262990887775019
2020-09-10,-0.022582831352569666
2020-09-11,-0.007642953320768364
2020-09-14,0.020980911593470708
2020-09-15,0.00988461032145782
2020-09-16,-0.015454690167662877
2020-09-17,-0.008284632921557011
2020-09-18,-0.017235198886275782
2020-09-21,0.008312737910596057
2020-09-22,0.015830875220114615
2020-09-23,-0.03116805047524207
2020-09-24,0.005602624353966856
2020-09-25,0.023903808276377614
2020-09-28,0.019133120393921565
2020-09-29,-0.003358802405477923
2020-09-30,0.008381603952765326
2020-10-01,0.010539714936898426
2020-10-02,-0.025353827650982375
2020-10-05,0.02192434847774316
2020-10-06,-0.015494765456405935
2020-10-07,0.018333003890356636
