Date,XLE
2020-09-01,-0.006732301362652571
2020-09-02,-0.004800955180141675
2020-09-03,-0.00737811013081624
2020-09-04,-0.0031446765128643195
2020-09-08,-0.036421001256466745
2020-09-09,0.00684539536694917
2020-09-10,-0.036653671683336775
2020-09-11,0.0009205077840963583
2020-09-14,0.007663819525934423
2020-09-15,-0.007301476912102256
2020-09-16,0.04014698533586736
2020-09-17,0.001473526241483336
2020-09-18,-0.011179815724368325
2020-09-21,-0.03314594779741298
2020-09-22,-0.010322025230361964
2020-09-23,-0.04519601457064493
2020-09-24,-0.0003311436926054512
2020-09-25,-0.0006622767863132539
2020-09-28,0.02352552471832081
2020-09-29,-0.027517103519906327
2020-09-30,-0.002995926717287989
2020-10-01,-0.03071756146275806
2020-10-02,0.00964499982295286
2020-10-05,0.03002375597108209
