Date,XLY
2020-09-01,0.01046061179896185
2020-09-02,0.013846544435463848
2020-09-03,-0.03173777805429201
2020-09-04,-0.01155296805830297
2020-09-08,-0.01311499524893478
2020-09-09,0.01886696500663132
2020-09-10,-0.014327273572193988
2020-09-11,0.001508349287902222
2020-09-14,0.010611194424908543
2020-09-15,0.008196937847435803
2020-09-16,-0.005576984058655365
2020-09-17,-0.014054208459842621
2020-09-18,-0.01391148104062745
2020-09-21,-0.014444360863995698
2020-09-22,0.021128856019310138
2020-09-23,-0.01640115864441416
2020-09-24,-0.0004220904979014284
2020-09-25,0.01302146191738629
2020-09-28,0.020914551266459025
2020-09-29,-0.007758807911210197
2020-09-30,0.00816244397655197
2020-10-01,0.013062929539176205
2020-10-02,-0.00423092443826889
2020-10-05,0.01321891091522942
