Date,XLB
2020-09-02,0.02269945502981252
2020-09-03,-0.027631351315908104
2020-09-04,0.000621424263663295
2020-09-08,-0.018777230363447694
2020-09-09,0.02577880473502625
2020-09-10,-0.009404890937447452
2020-09-11,0.012762711771731272
2020-09-14,0.014446108797149249
2020-09-15,0.004847510126204213
2020-09-16,0.0007538114283249797
2020-09-17,0.007382080835991456
2020-09-18,-0.01719783882293968
2020-09-21,-0.03366342474687978
2020-09-22,0.0018983323493879656
2020-09-23,-0.02936983064591503
2020-09-24,0.007157945986199676
2020-09-25,0.008883927477809639
2020-09-28,0.016170366031203587
2020-09-29,-0.007405312911109463
2020-09-30,0.010158835155364532
2020-10-01,-0.014141922726101375
2020-10-02,0.008925672708950172
2020-10-05,0.01911519457543953
2020-10-06,-0.012556159705052083
2020-10-07,0.0257455871429928
