Date,IEUR
2020-09-02,0.015621651411328541
2020-09-03,-0.02478095736980568
2020-09-04,0.0021905319745121332
2020-09-08,-0.014426396442178135
2020-09-09,0.02417408360936335
2020-09-10,-0.014725048205112223
2020-09-11,0.00901093659673613
2020-09-14,0.004574114501201709
2020-09-15,0.006504819988044197
2020-09-16,-0.000215371759524019
2020-09-17,0.002154660464973812
2020-09-18,-0.007525336542206551
2020-09-21,-0.030978955924159668
2020-09-22,-0.002906610130530618
2020-09-23,-0.013901339481051989
2020-09-24,-0.0009094843714844147
2020-09-25,0.004324135112276473
2020-09-28,0.01699521982999941
2020-09-29,-0.00022276197511528206
2020-09-30,-0.003566174602072203
2020-10-01,0.007604994087633932
2020-10-02,-0.00022202000311422054
2020-10-05,0.018205932665427804
2020-10-06,-0.014173696065908015
